Make,ExposureTime,DateOriginal,TimeOriginal,Presence,Amount,Diet,Species,Year,camera,comments
Moultrie,0.003584229,2018:09:13,8:50:42,1,91,Herbivorous,Elephant,2015,CAM_1,28
Moultrie,0.003584229,2018:09:13,8:50:44,1,81,Herbivorous,Elephant,2015,CAM_1,28
Moultrie,0.05,2018:09:13,12:21:35,1,89,Herbivorous,Elephant,2015,CAM_1,44
Moultrie,0.05,2018:09:13,12:21:38,1,95,Herbivorous,Elephant,2015,CAM_1,30
Moultrie,0.05,2018:09:13,12:21:41,1,110,Herbivorous,Elephant,2015,CAM_1,28
Moultrie,0.001344086,2018:09:14,1:47:33,1,112,Herbivorous,Elephant,2015,CAM_1,32
Moultrie,0.001254705,2018:09:14,1:49:50,1,122,Herbivorous,Zebra,2015,CAM_1,36
Moultrie,0.001165501,2018:09:14,1:58:52,1,126,Herbivorous,Zebra,2015,CAM_1,40
Moultrie,0.001165501,2018:09:14,1:59:27,1,159,Herbivorous,Zebra,2015,CAM_1,32
Moultrie,0.001165501,2018:09:14,1:59:30,1,180,Herbivorous,Zebra,2015,CAM_1,31
Moultrie,0.001165501,2018:09:14,1:59:39,1,200,Herbivorous,Zebra,2015,CAM_1,28
Moultrie,0.001165501,2018:09:14,1:59:42,1,199,Herbivorous,Zebra,2015,CAM_1,28
Moultrie,0.001165501,2018:09:14,1:59:45,1,176,Herbivorous,Zebra,2015,CAM_1,28
Moultrie,0.001165501,2018:09:14,1:59:54,1,178,Herbivorous,Zebra,2015,CAM_1,44
Moultrie,0.001165501,2018:09:14,1:59:58,1,202,Herbivorous,Zebra,2015,CAM_1,30
Moultrie,0.001165501,2018:09:14,2:00:46,1,201,Herbivorous,Zebra,2015,CAM_1,28
Moultrie,0.001165501,2018:09:14,2:00:49,1,208,Herbivorous,Zebra,2015,CAM_1,199
Moultrie,0.000268817,2018:09:14,2:09:51,1,232,Herbivorous,Warthog,2015,CAM_1,176
Moultrie,0.000896057,2018:09:14,2:14:15,1,247,Herbivorous,Warthog,2015,CAM_1,178
Moultrie,0.000268817,2018:09:14,2:35:44,1,262,Herbivorous,Elephant,2015,CAM_1,202
Moultrie,0.000986193,2018:09:14,2:35:46,1,267,Herbivorous,Elephant,2015,CAM_1,201
Moultrie,0.000986193,2018:09:14,2:35:50,1,280,Herbivorous,Elephant,2015,CAM_1,208
Moultrie,0.001165501,2018:09:14,2:35:59,1,283,Herbivorous,Elephant,2015,CAM_1,232
Moultrie,0.001165501,2018:09:14,2:36:02,1,287,Herbivorous,Elephant,2015,CAM_1,247
Moultrie,0.002506266,2018:09:14,2:43:52,1,300,Herbivorous,Elephant,2015,CAM_1,262
Moultrie,0.002506266,2018:09:14,2:43:54,1,331,Herbivorous,Elephant,2015,CAM_1,267
Moultrie,0.002506266,2018:09:14,2:43:58,1,342,Herbivorous,Elephant,2015,CAM_1,280
Moultrie,0.001075269,2018:09:14,2:44:07,1,348,Herbivorous,Elephant,2015,CAM_1,283
Moultrie,0.001075269,2018:09:14,2:44:10,1,354,Herbivorous,Elephant,2015,CAM_1,287
Moultrie,0.001075269,2018:09:14,2:44:13,1,365,Herbivorous,Elephant,2015,CAM_1,300
